PartitionKey,RowKey,ACTIVE,ACTIVE@type,INCREMENTAL,INCREMENTAL@type,NOTEBOOK_LEVEL,NOTEBOOK_LEVEL@type,NOTEBOOK_NAME,NOTEBOOK_NAME@type,PRUNE_DAYS,PRUNE_DAYS@type,PUBLISH,PUBLISH@type,TABLE_NAME,TABLE_NAME@type,UC,UC@type
1,76,TRUE,Boolean,TRUE,Boolean,3,Int64,ACCOUNT_AGG,String,1,Int64,TRUE,Boolean,ACCOUNT_AGG,String,TRUE,Boolean
1,1,TRUE,Boolean,FALSE,Boolean,1,Int64,ACCOUNT_COL,String,10,Int64,TRUE,Boolean,ACCOUNT_COL,String,TRUE,Boolean
1,2,TRUE,Boolean,TRUE,Boolean,1,Int64,ACCOUNT_EBS,String,10,Int64,TRUE,Boolean,ACCOUNT_EBS,String,TRUE,Boolean
1,74,TRUE,Boolean,TRUE,Boolean,1,Int64,ACCOUNT_KGD,String,1,Int64,TRUE,Boolean,ACCOUNT_KGD,String,TRUE,Boolean
1,3,FALSE,Boolean,FALSE,Boolean,2,Int64,ACCOUNT_PRMS,String,10,Int64,TRUE,Boolean,ACCOUNT_PRMS,String,TRUE,Boolean
1,4,TRUE,Boolean,TRUE,Boolean,2,Int64,ACCOUNT_SAP,String,1,Int64,TRUE,Boolean,ACCOUNT_SAP,String,TRUE,Boolean
1,45,TRUE,Boolean,TRUE,Boolean,1,Int64,ACCOUNT_SF,String,10,Int64,TRUE,Boolean,ACCOUNT_SF,String,TRUE,Boolean
1,5,TRUE,Boolean,FALSE,Boolean,2,Int64,ACCOUNT_TOT,String,10,Int64,TRUE,Boolean,ACCOUNT_TOT,String,TRUE,Boolean
